check (source file),event,date_first_detected,time_first_detected,temperature_celsuis,camera_model,location,treatment,site,site_type,wing1ID,wing1_detected,centreID,centre_detected,wing2ID,wing2_detected,walked_in_front_of_felixer?,walkpast,avoided,catID,comments,2_or_more_cameras,ID_dataset,date_site_set,time_in,times_caught_to_date,sex,days_since_site_set,days_cat_in,days_cat_exposed,direction,behavior,weight_g,age,captured_no,date_last_capture,days_since_last_capture
HM and SR pulled 22.9,495,24/08/2021,23:36:23,8,reconyx,dingo,collared,F1,felixer,SR4,1,SR5,1,SR6,1,T,1,0,ancalagon,new cat with retroreflector,yes,catID,27/05/2021,13/08/2021,1,F,89,11,11,east,,3775,adult,1,13/08/2021,11
HM and SR pulled 22.9,496,25/08/2021,22:14:34,6,reconyx,dingo,collared,CR02,crate,SR10,1,SR11,1,SR12,0,T,1,0,ancalagon,new cat with retroreflector,yes,catID,29/05/2021,13/08/2021,1,F,88,12,12,east,,3775,adult,1,13/08/2021,12
HM and SR pulled 22.9,497,26/08/2021,20:50:10,3,reconyx,dingo,collared,CR01,crate,SR1,0,SR2,0,SR3,1,F,0,1,,,no,drop,27/05/2021,na,na,NA,91,,91,west,,,,,,
HM and SR pulled 22.9,498,26/08/2021,6:14:40,-1,reconyx,dingo,collared,CR02,crate,SR10,1,SR11,1,SR12,0,T,1,0,cantID,"telemetry solutions collar, but no good photos",yes,drop,29/05/2021,,,,89,,,west,,,,,,
HM and SR pulled 22.9,499,26/08/2021,21:33:13,4,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,1,SR12,0,T,1,0,,,no,drop,29/05/2021,26/08/2021,1,M,89,0,0,east,,,,,,
HM and SR pulled 22.9,500,27/08/2021,20:14:40,14,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,1,SR12,0,T,1,0,,,no,drop,29/05/2021,26/08/2021,1,M,90,1,1,east,,,,,,
HM and SR pulled 22.9,501,27/08/2021,19:39:19,14,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,1,SR12,1,T,1,0,tedBundy,telemetry solutions collar,yes,catID,29/05/2021,10/07/2021,1,M,90,48,48,west,,5975,adult,1,10/07/2021,48
HM and SR pulled 22.9,502,30/08/2021,21:54:54,12,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,1,SR12,0,T,1,0,,,no,drop,29/05/2021,26/08/2021,1,M,93,4,4,east,,,,,,
HM and SR pulled 22.9,503,30/08/2021,23:13:46,9,reconyx,dingo,collared,CR06,crate,HM12,1,HM11,0,HM10,0,F,0,1,,,no,drop,5/07/2021,10/07/2021,1,M,56,51,51,east,,5975,adult,1,10/07/2021,51
HM and SR pulled 22.9,504,30/08/2021,20:27:18,15,reconyx,dingo,collared,F1,felixer,SR4,1,SR5,1,SR6,1,T,1,0,calamity,I think calamity as looks like a juvenile quoll collar heatshrunk on,yes,catID,27/05/2021,30/07/2021,1,F,95,31,31,west,,3450,adult,1,30/07/2021,31
HM and SR pulled 22.9,505,31/08/2021,22:55:43,11,reconyx,dingo,collared,CR02,crate,SR10,0,SR11,1,SR12,0,T,1,0,,,no,drop,29/05/2021,11/08/2021,1,M,94,20,20,east,,,,,,
HM and SR pulled 22.9,506,31/08/2021,18:33:49,22,reconyx,dingo,collared,CR02,crate,SR10,1,SR11,1,SR12,0,T,1,0,mohawk,,yes,catID,29/05/2021,3/04/2021,2,M,94,150,94,east,,5200,adult,2,30/04/2021,123
HM and SR pulled 22.9,507,31/08/2021,4:56:38,10,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,0,HM4,0,F,0,1,,,no,drop,29/05/2021,na,na,NA,94,,94,east,,,,,,
HM and SR pulled 22.9,508,31/08/2021,1:37:09,11,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,1,HM4,0,T,1,0,cantID,cant ID,yes,drop,29/05/2021,,,,94,,,west,,,,,,
HM and SR pulled 22.9,509,31/08/2021,20:17:40,17,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,0,HM4,0,F,0,1,,,no,drop,29/05/2021,11/08/2021,1,M,94,20,20,east,,,,,,
HM and SR pulled 22.9,510,1/09/2021,21:04:46,13,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,0,HM9,1,F,0,1,,,no,drop,29/05/2021,30/07/2021,1,M,95,33,33,east,,4250,adult,1,30/07/2021,33
HM and SR pulled 22.9,511,2/09/2021,3:40:04,14,reconyx,dingo,collared,CR04,crate,HM6,0,HM5,1,HM4,1,T,1,0,ancalagon,new cat with retroreflector,yes,catID,29/05/2021,13/08/2021,1,F,96,20,20,east,,3775,adult,1,13/08/2021,20
HM and SR pulled 22.9,512,2/09/2021,19:18:53,30,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,1,HM4,1,T,1,0,uncollaredstripeyinside,"I think two cats, mohawk and another",yes,drop,29/05/2021,,,,96,,,west,,,,,,
HM and SR pulled 22.9,513,2/09/2021,19:46:41,28,reconyx,dingo,collared,F1,felixer,SR4,0,SR5,1,SR6,1,T,1,0,mohawk,,yes,catID,27/05/2021,3/04/2021,2,M,98,152,98,west,,5200,adult,2,30/04/2021,125
HM and SR pulled 22.9,514,2/09/2021,19:46:41,28,reconyx,dingo,collared,F1,felixer,SR4,0,SR5,1,SR6,1,T,1,0,uncollaredstripeyinside,uncollared stripey,yes,drop,27/05/2021,,,,98,,,west,,,,,,
HM and SR pulled 22.9,515,3/09/2021,23:18:31,13,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,1,HM9,1,T,1,0,comanche_moon,,yes,catID,29/05/2021,10/08/2021,1,M,97,24,24,east,,4100,adult,1,10/08/2021,24
HM and SR pulled 22.9,516,4/09/2021,0:31:14,10,reconyx,dingo,collared,CR01,crate,SR1,0,SR2,1,SR3,0,T,1,0,,,no,drop,27/05/2021,13/08/2021,1,F,100,22,22,east,,,,,,
HM and SR pulled 22.9,517,4/09/2021,1:58:17,11,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,1,HM9,0,T,1,0,,,no,drop,29/05/2021,26/08/2021,1,M,98,9,9,west,,,,,,
HM and SR pulled 22.9,518,4/09/2021,3:30:54,9,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,0,HM9,1,F,0,1,,,no,drop,29/05/2021,30/07/2021,1,M,98,36,36,east,,4250,adult,1,30/07/2021,36
HM and SR pulled 22.9,519,5/09/2021,0:48:03,5,reconyx,dingo,collared,F2,felixer,SR7,0,SR8,1,SR9,0,T,1,0,,,no,drop,27/05/2021,na,na,NA,101,,101,east,,,,,,
HM and SR pulled 22.9,520,6/09/2021,4:48:09,0,reconyx,dingo,collared,CR01,crate,SR1,0,SR2,0,SR3,1,F,0,1,,,no,drop,27/05/2021,3/04/2021,2,M,102,156,102,east,,5200,adult,2,30/04/2021,129
HM and SR pulled 22.9,521,6/09/2021,19:01:59,16,reconyx,dingo,collared,CR04,crate,HM6,0,HM5,1,HM4,0,T,1,0,,,no,drop,29/05/2021,30/07/2021,1,F,100,38,38,west,,,,,,
HM and SR pulled 22.9,522,6/09/2021,1:56:59,6,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,0,HM4,0,F,0,1,,,no,drop,29/05/2021,26/08/2021,1,M,100,11,11,east,,,,,,
HM and SR pulled 22.9,523,6/09/2021,12:19:33,6,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,0,HM9,1,F,0,1,,,no,drop,29/05/2021,30/07/2021,1,M,100,38,38,east,,4250,adult,1,30/07/2021,38
HM and SR pulled 22.9,524,6/09/2021,2:16:51,4,reconyx,dingo,collared,F2,felixer,SR7,1,SR8,1,SR9,0,T,1,0,ancalagon,,yes,catID,27/05/2021,13/08/2021,1,F,102,24,24,east,,3775,adult,1,13/08/2021,24
HM and SR pulled 22.9,525,7/09/2021,20:02:17,14,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,1,HM9,0,T,1,0,,,no,drop,29/05/2021,30/07/2021,1,M,101,39,39,east,,4250,adult,1,30/07/2021,39
HM and SR pulled 22.9,526,8/09/2021,0:10:36,7,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,0,HM4,1,F,0,1,mohawk,,yes,catID,29/05/2021,3/04/2021,2,M,102,158,102,east,,5200,adult,2,30/04/2021,131
HM and SR pulled 22.9,527,8/09/2021,19:35:30,13,reconyx,dingo,collared,F1,felixer,SR4,1,SR5,0,SR6,0,F,0,1,,,no,drop,27/05/2021,na,na,NA,104,,104,west,,,,,,
HM and SR pulled 22.9,528,8/09/2021,4:55:30,3,reconyx,dingo,collared,F1,felixer,SR4,0,SR5,1,SR6,1,T,1,0,cruella,,yes,catID,27/05/2021,26/08/2021,1,F,104,13,13,east,,3600,adult,1,26/08/2021,13
HM and SR pulled 22.9,529,9/09/2021,19:45:02,15,reconyx,dingo,collared,CR05,crate,HM7,0,HM8,1,HM9,0,T,1,0,,,no,drop,29/05/2021,30/07/2021,1,M,103,41,41,east,,4250,adult,1,30/07/2021,41
HM and SR pulled 22.9,530,11/09/2021,21:54:01,18,reconyx,dingo,collared,CR01,crate,SR1,0,SR2,1,SR3,1,T,1,0,cruella,,yes,catID,27/05/2021,26/08/2021,1,F,107,16,16,east,,3600,adult,1,26/08/2021,16
HM and SR pulled 22.9,531,11/09/2021,1:32:27,7,reconyx,dingo,collared,CR01,crate,SR1,0,SR2,1,SR3,0,T,1,0,,,no,drop,27/05/2021,12/07/2021,1,M,107,61,61,east,"investigates crate, circles around it",,,,,
HM and SR pulled 22.9,532,11/09/2021,19:20:19,25,reconyx,dingo,collared,CR04,crate,HM6,1,HM5,0,HM4,0,F,0,1,,,no,drop,29/05/2021,26/08/2021,1,M,105,16,16,west,,,,,,
